lat,lon,cctv_count,police_count,transport_count,crime_official_count,crime_unofficial_count,safety_score,cluster,safety_score
12.96,80.13,1,0,0,0,0,35.052,0,0.484
12.96,80.14,8,0,0,0,0,35.417,0,0.489
12.96,80.15,1,0,0,0,0,35.052,0,0.484
12.96,80.16,2,0,0,0,0,35.104,0,0.484
12.96,80.17,0,0,0,0,0,35.0,0,0.483
12.96,80.18,2,0,0,0,0,35.104,0,0.484
12.96,80.19,24,0,0,0,0,36.252,0,0.501
12.96,80.2,2,0,1,0,0,36.104,0,0.499
12.96,80.21,1,0,0,0,0,35.052,0,0.484
12.96,80.22,0,0,0,0,0,35.0,0,0.483
12.96,80.23,0,0,0,0,0,35.0,0,0.483
12.96,80.24,5,0,0,0,0,35.261,0,0.487
12.96,80.25,2,0,0,0,0,35.104,0,0.484
12.96,80.26,3,0,1,0,0,36.157,0,0.5
12.96,80.27,0,0,0,0,0,35.0,0,0.483
